Price,Close,EMA200,Upper_Buffer,Lower_Buffer,SMA200,SMA40
Ticker,^IXIC,,,,,
Date,,,,,,
2025-03-10,17468.32,18310.9,18860.22,17761.57,18403.77,19347.13
2025-03-11,17436.1,18302.19,18851.26,17753.13,18406.79,19303.99
2025-03-12,17648.45,18295.69,18844.56,17746.82,18411.03,19268.0
2025-03-13,17303.01,18285.81,18834.38,17737.24,18413.86,19224.46
2025-03-14,17754.09,18280.52,18828.93,17732.1,18418.03,19180.53
2025-03-17,17808.66,18275.82,18824.1,17727.55,18421.97,19142.29
2025-03-18,17504.12,18268.15,18816.19,17720.1,18424.89,19089.14
2025-03-19,17750.79,18263.0,18810.89,17715.11,18429.96,19038.99
2025-03-20,17691.63,18257.31,18805.03,17709.59,18434.74,18981.05
2025-03-21,17784.05,18252.6,18800.18,17705.02,18439.52,18924.31
2025-03-24,18188.59,18251.97,18799.53,17704.41,18446.18,18880.17
2025-03-25,18271.86,18252.16,18799.73,17704.6,18451.6,18853.42
2025-03-26,17899.02,18248.65,18796.11,17701.19,18455.22,18807.55
2025-03-27,17804.03,18244.23,18791.55,17696.9,18458.58,18761.85
2025-03-28,17322.99,18235.06,18782.11,17688.01,18459.23,18702.88
2025-03-31,17299.29,18225.75,18772.52,17678.98,18459.01,18644.67
2025-04-01,17449.89,18218.03,18764.57,17671.49,18458.22,18596.12
2025-04-02,17601.05,18211.89,18758.25,17665.53,18457.89,18544.8
2025-04-03,16550.61,18195.36,18741.22,17649.5,18452.19,18466.25
2025-04-04,15587.79,18169.41,18714.5,17624.33,18440.85,18361.15
2025-04-07,15603.26,18143.88,18688.2,17599.56,18429.55,18263.15
2025-04-08,15267.91,18115.26,18658.72,17571.8,18417.28,18151.99
2025-04-09,17124.97,18105.41,18648.57,17562.25,18414.46,18089.01
2025-04-10,16387.31,18088.31,18630.96,17545.66,18408.91,18007.45
2025-04-11,16724.46,18074.74,18616.99,17532.5,18403.95,17926.92
2025-04-14,16831.48,18062.37,18604.24,17520.5,18399.08,17847.04
2025-04-15,16823.17,18050.04,18591.54,17508.54,18393.9,17766.58
2025-04-16,16307.16,18032.7,18573.68,17491.72,18386.78,17672.86
2025-04-17,16286.45,18015.32,18555.78,17474.86,18378.81,17580.96
2025-04-21,15870.9,17993.99,18533.81,17454.17,18368.02,17489.63
2025-04-22,16300.42,17977.14,18516.45,17437.82,18358.58,17414.97
2025-04-23,16708.05,17964.51,18503.44,17425.57,18350.36,17357.01
2025-04-24,17166.04,17956.56,18495.26,17417.87,18344.17,17309.28
2025-04-25,17382.94,17950.85,18489.38,17412.33,18338.94,17280.24
2025-04-28,17366.13,17945.04,18483.39,17406.69,18332.53,17243.21
2025-04-29,17461.32,17940.22,18478.43,17402.02,18328.42,17220.99
2025-04-30,17446.34,17935.31,18473.37,17397.25,18323.66,17200.02
2025-05-01,17710.74,17933.07,18471.07,17395.08,18319.85,17178.97
2025-05-02,17977.73,17933.52,18471.52,17395.51,18317.19,17176.68
2025-05-05,17844.24,17932.63,18470.61,17394.65,18316.43,17167.88
2025-05-06,17689.66,17930.21,18468.12,17392.31,18315.52,17173.42
2025-05-07,17738.16,17928.3,18466.15,17390.45,18315.58,17180.97
2025-05-08,17928.14,17928.3,18466.15,17390.45,18315.18,17187.96
2025-05-09,17928.92,17928.31,18466.16,17390.46,18314.84,17203.61
2025-05-12,18708.34,17936.07,18474.15,17397.99,18321.67,17227.47
2025-05-13,19010.09,17946.75,18485.16,17408.35,18330.81,17257.5
2025-05-14,19146.81,17958.7,18497.46,17419.93,18339.76,17298.57
2025-05-15,19112.32,17970.17,18509.28,17431.07,18348.47,17332.61
2025-05-16,19211.1,17982.52,18522.0,17443.05,18358.79,17370.59
2025-05-19,19215.46,17994.79,18534.63,17454.95,18366.87,17406.38
2025-05-20,19142.71,18006.21,18546.4,17466.03,18376.61,17430.23
2025-05-21,18872.64,18014.83,18555.28,17474.39,18387.09,17445.25
2025-05-22,18925.74,18023.9,18564.61,17483.18,18400.72,17470.92
2025-05-23,18737.21,18030.99,18571.92,17490.07,18412.57,17494.25
2025-05-27,19199.16,18042.62,18583.9,17501.34,18427.59,17541.15
